"((0, 1), (4, 1))",[-333.26348584 -333.80576917 -340.46901797 -335.41111742]
"((5, 3), (4, 1))",[0. 0. 0. 0.]
"((3, 1), (3, 2))",[-312.55931347 -310.66970485 -314.41809542 -506.5       ]
"((2, 1), (3, 2))",[-309.37005315 -309.92291949 -309.65892951 -306.09344078]
"((1, 1), (3, 2))",[-301.32474779 -303.73494051 -306.08845447 -306.15057106]
"((0, 1), (3, 2))",[-300.34429754 -299.3878666  -304.31652692 -304.96043954]
"((4, 1), (3, 2))",[-311.23944541 -304.25786513 -305.04732742 -304.19261861]
"((3, 0), (3, 2))",[-311.73245453 -309.15329888 -308.88697606 -313.68627021]
"((2, 0), (3, 2))",[-308.65738331 -310.62540748 -310.22945452 -310.74426734]
"((1, 0), (3, 2))",[-304.57905878 -307.49998591 -308.85579426 -308.84287578]
"((0, 0), (3, 2))",[-304.70633733 -305.56725449 -304.70633733 -305.09426583]
"((4, 0), (3, 2))",[-308.69693696 -306.56102593 -303.7481955  -304.27394092]
"((3, 2), (3, 3))",[0. 0. 0. 0.]
"((3, 3), (4, 2))",[0. 0. 0. 0.]
"((4, 3), (4, 1))",[0. 0. 0. 0.]
"((1, 2), (4, 1))",[-333.95400878 -334.68005062 -334.38189719 -336.758864  ]
"((0, 2), (4, 1))",[-334.38866325 -336.44848805 -332.20667157 -330.83065648]
"((3, 3), (4, 1))",[0. 0. 0. 0.]
"((5, 3), (4, 2))",[0. 0. 0. 0.]
"((4, 3), (3, 1))",[0. 0. 0. 0.]
"((1, 3), (4, 1))",[-329.16459662 -508.5        -328.39486144 -330.23363507]
"((0, 3), (4, 1))",[-329.52629485 -326.08403924 -333.23687128 -328.22392956]
"((5, 1), (2, 1))",[-316.35089395 -319.62189162 -320.05441745 -322.24151111]
"((5, 0), (2, 1))",[-319.07535306 -321.63446718 -321.63446718 -322.36045008]
"((5, 2), (2, 1))",[-323.26862428 -321.63446718 -319.62977876 -892.5       ]
